0,4265625 | [TestNr=1; FreqBandWidth=7; ValueThreshold=0,0001; MaxSquaredError=1E-05];
0,4265625 | [TestNr=2; FreqBandWidth=7; ValueThreshold=0,0001; MaxSquaredError=0,0001];
0,4996875 | [TestNr=3; FreqBandWidth=7; ValueThreshold=0,0001; MaxSquaredError=0,001];
0,5271875 | [TestNr=4; FreqBandWidth=7; ValueThreshold=0,0001; MaxSquaredError=0,003];
0,5084375 | [TestNr=5; FreqBandWidth=7; ValueThreshold=0,0001; MaxSquaredError=0,006];
0,4740625 | [TestNr=6; FreqBandWidth=7; ValueThreshold=0,0001; MaxSquaredError=0,01];
0,455 | [TestNr=7; FreqBandWidth=7; ValueThreshold=0,0001; MaxSquaredError=0,02];
0,424375 | [TestNr=8; FreqBandWidth=7; ValueThreshold=0,0001; MaxSquaredError=0,03];
0,4446875 | [TestNr=9; FreqBandWidth=7; ValueThreshold=0,0001; MaxSquaredError=0,04];
0,45125 | [TestNr=10; FreqBandWidth=7; ValueThreshold=0,0001; MaxSquaredError=0,05];
0,470625 | [TestNr=11; FreqBandWidth=7; ValueThreshold=0,0001; MaxSquaredError=0,06];
0,4859375 | [TestNr=12; FreqBandWidth=7; ValueThreshold=0,0001; MaxSquaredError=0,1];
0,3909375 | [TestNr=13; FreqBandWidth=7; ValueThreshold=0,0001; MaxSquaredError=0,2];
0,4253125 | [TestNr=14; FreqBandWidth=7; ValueThreshold=0,0001; MaxSquaredError=0,3];
0,4265625 | [TestNr=15; FreqBandWidth=7; ValueThreshold=0,0005; MaxSquaredError=1E-05];
0,4265625 | [TestNr=16; FreqBandWidth=7; ValueThreshold=0,0005; MaxSquaredError=0,0001];
0,4996875 | [TestNr=17; FreqBandWidth=7; ValueThreshold=0,0005; MaxSquaredError=0,001];
0,5271875 | [TestNr=18; FreqBandWidth=7; ValueThreshold=0,0005; MaxSquaredError=0,003];
0,5084375 | [TestNr=19; FreqBandWidth=7; ValueThreshold=0,0005; MaxSquaredError=0,006];
0,47 | [TestNr=20; FreqBandWidth=7; ValueThreshold=0,0005; MaxSquaredError=0,01];
0,4628125 | [TestNr=21; FreqBandWidth=7; ValueThreshold=0,0005; MaxSquaredError=0,02];
0,41625 | [TestNr=22; FreqBandWidth=7; ValueThreshold=0,0005; MaxSquaredError=0,03];
0,4346875 | [TestNr=23; FreqBandWidth=7; ValueThreshold=0,0005; MaxSquaredError=0,04];
0,42 | [TestNr=24; FreqBandWidth=7; ValueThreshold=0,0005; MaxSquaredError=0,05];
0,49375 | [TestNr=25; FreqBandWidth=7; ValueThreshold=0,0005; MaxSquaredError=0,06];
0,490625 | [TestNr=26; FreqBandWidth=7; ValueThreshold=0,0005; MaxSquaredError=0,1];
0,3840625 | [TestNr=27; FreqBandWidth=7; ValueThreshold=0,0005; MaxSquaredError=0,2];
0,4203125 | [TestNr=28; FreqBandWidth=7; ValueThreshold=0,0005; MaxSquaredError=0,3];
0,4265625 | [TestNr=29; FreqBandWidth=7; ValueThreshold=0,001; MaxSquaredError=1E-05];
0,4265625 | [TestNr=30; FreqBandWidth=7; ValueThreshold=0,001; MaxSquaredError=0,0001];
0,4859375 | [TestNr=31; FreqBandWidth=7; ValueThreshold=0,001; MaxSquaredError=0,001];
0,5084375 | [TestNr=32; FreqBandWidth=7; ValueThreshold=0,001; MaxSquaredError=0,003];
0,5021875 | [TestNr=33; FreqBandWidth=7; ValueThreshold=0,001; MaxSquaredError=0,006];
0,455 | [TestNr=34; FreqBandWidth=7; ValueThreshold=0,001; MaxSquaredError=0,01];
0,435 | [TestNr=35; FreqBandWidth=7; ValueThreshold=0,001; MaxSquaredError=0,02];
0,4259375 | [TestNr=36; FreqBandWidth=7; ValueThreshold=0,001; MaxSquaredError=0,03];
0,4409375 | [TestNr=37; FreqBandWidth=7; ValueThreshold=0,001; MaxSquaredError=0,04];
0,42 | [TestNr=38; FreqBandWidth=7; ValueThreshold=0,001; MaxSquaredError=0,05];
0,4984375 | [TestNr=39; FreqBandWidth=7; ValueThreshold=0,001; MaxSquaredError=0,06];
0,490625 | [TestNr=40; FreqBandWidth=7; ValueThreshold=0,001; MaxSquaredError=0,1];
0,4784375 | [TestNr=41; FreqBandWidth=7; ValueThreshold=0,001; MaxSquaredError=0,2];
0,4246875 | [TestNr=42; FreqBandWidth=7; ValueThreshold=0,001; MaxSquaredError=0,3];
0,4265625 | [TestNr=43; FreqBandWidth=7; ValueThreshold=0,01; MaxSquaredError=1E-05];
0,4265625 | [TestNr=44; FreqBandWidth=7; ValueThreshold=0,01; MaxSquaredError=0,0001];
0,464375 | [TestNr=45; FreqBandWidth=7; ValueThreshold=0,01; MaxSquaredError=0,001];
0,466875 | [TestNr=46; FreqBandWidth=7; ValueThreshold=0,01; MaxSquaredError=0,003];
0,4528125 | [TestNr=47; FreqBandWidth=7; ValueThreshold=0,01; MaxSquaredError=0,006];
0,4125 | [TestNr=48; FreqBandWidth=7; ValueThreshold=0,01; MaxSquaredError=0,01];
0,4028125 | [TestNr=49; FreqBandWidth=7; ValueThreshold=0,01; MaxSquaredError=0,02];
0,395 | [TestNr=50; FreqBandWidth=7; ValueThreshold=0,01; MaxSquaredError=0,03];
0,4371875 | [TestNr=51; FreqBandWidth=7; ValueThreshold=0,01; MaxSquaredError=0,04];
0,4478125 | [TestNr=52; FreqBandWidth=7; ValueThreshold=0,01; MaxSquaredError=0,05];
0,4959375 | [TestNr=53; FreqBandWidth=7; ValueThreshold=0,01; MaxSquaredError=0,06];
0,484375 | [TestNr=54; FreqBandWidth=7; ValueThreshold=0,01; MaxSquaredError=0,1];
0,4690625 | [TestNr=55; FreqBandWidth=7; ValueThreshold=0,01; MaxSquaredError=0,2];
